Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Preparation_Time_Min,order_month,orderd_hour
36.0,4.2,2022-02-12,1900-01-01 21:55:00,1900-01-01 22:10:00,Fog,Jam,Good,Snack,motorcycle,3.0,No,Metropolitian,46,15.0,2,21
21.0,4.7,2022-02-13,1900-01-01 14:55:00,1900-01-01 15:05:00,Stormy,High,Average,Meal,motorcycle,1.0,No,Metropolitian,23,10.0,2,14
23.0,4.7,2022-03-04,1900-01-01 17:30:00,1900-01-01 17:40:00,Sandstorms,Medium,Average,Drinks,scooter,1.0,No,Metropolitian,21,10.0,3,17
34.0,4.3,2022-02-13,1900-01-01 09:20:00,1900-01-01 09:30:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Metropolitian,20,10.0,2,9
24.0,4.7,2022-02-14,1900-01-01 19:50:00,1900-01-01 20:05:00,Fog,Jam,Average,Snack,scooter,1.0,No,Metropolitian,41,15.0,2,19
29.0,4.5,2022-04-02,1900-01-01 20:25:00,1900-01-01 20:35:00,Sandstorms,Jam,Good,Buffet,electric_scooter,1.0,No,Metropolitian,20,10.0,4,20
35.0,4.0,2022-03-01,1900-01-01 14:55:00,1900-01-01 15:10:00,Windy,High,Average,Meal,scooter,1.0,No,Metropolitian,33,15.0,3,14
33.0,4.2,2022-03-16,1900-01-01 20:30:00,1900-01-01 20:40:00,Sandstorms,Jam,Good,Snack,motorcycle,1.0,No,Metropolitian,40,10.0,3,20
34.0,4.9,2022-03-20,1900-01-01 20:40:00,1900-01-01 20:50:00,Cloudy,Jam,Poor,Snack,motorcycle,1.0,No,Metropolitian,41,10.0,3,20
21.0,4.7,2022-02-15,1900-01-01 21:15:00,1900-01-01 21:30:00,Windy,Jam,Poor,Meal,motorcycle,1.0,No,Urban,15,15.0,2,21
25.0,4.1,2022-03-16,1900-01-01 20:20:00,1900-01-01 20:25:00,Sandstorms,Jam,Poor,Snack,motorcycle,2.0,No,Metropolitian,36,5.0,3,20
31.0,4.7,2022-03-10,1900-01-01 22:30:00,1900-01-01 22:45:00,Sandstorms,Low,Good,Meal,electric_scooter,0.0,No,Metropolitian,26,15.0,3,22
37.0,5.0,2022-03-11,1900-01-01 08:15:00,1900-01-01 08:30:00,Sandstorms,Low,Average,Snack,motorcycle,1.0,No,Metropolitian,20,15.0,3,8
33.0,4.3,2022-03-27,1900-01-01 19:30:00,1900-01-01 19:45:00,Windy,Jam,Good,Meal,scooter,1.0,No,Metropolitian,39,15.0,3,19
25.0,4.0,2022-03-26,1900-01-01 12:25:00,1900-01-01 12:30:00,Cloudy,High,Average,Buffet,motorcycle,1.0,No,Metropolitian,34,5.0,3,12
29.0,4.5,2022-03-27,1900-01-01 18:35:00,1900-01-01 18:50:00,Sunny,Medium,Good,Meal,electric_scooter,1.0,No,Metropolitian,15,15.0,3,18
27.0,5.0,2022-04-05,1900-01-01 20:35:00,1900-01-01 20:40:00,Stormy,Jam,Poor,Snack,motorcycle,0.0,No,Urban,18,5.0,4,20
35.0,4.3,2022-03-12,1900-01-01 23:20:00,1900-01-01 23:30:00,Cloudy,Low,Average,Drinks,scooter,0.0,No,Metropolitian,38,10.0,3,23
32.0,4.0,2022-03-16,1900-01-01 21:20:00,1900-01-01 21:35:00,Windy,Jam,Poor,Buffet,motorcycle,1.0,No,Metropolitian,47,15.0,3,21
23.0,4.8,2022-04-02,1900-01-01 23:35:00,1900-01-01 23:45:00,Windy,Low,Good,Buffet,electric_scooter,0.0,No,Urban,12,10.0,4,23
31.0,4.8,2022-04-01,1900-01-01 22:35:00,1900-01-01 22:50:00,Sandstorms,Low,Good,Drinks,motorcycle,1.0,No,Metropolitian,26,15.0,4,22
