order_id,order_date,order_month,order_quarter,order_year,customer_id,gender,age,city,state,membership_tier,product_id,product_name,category,sub_category,brand,color,size,mrp,discount_percent,selling_price,quantity,total_amount,payment_mode,order_channel,order_status,delivery_days,rating
MYN100001,2023-03-03,March,Q1,2023,CUST00139,Female,27,Delhi,Delhi,Insider,P89152,Woodland Striped Slides,Footwear,Sandals,Woodland,Multicolor,11,5729.0,50,2864.5,1,2864.5,UPI,Website,Delivered,3,5.0
MYN100002,2024-03-13,March,Q1,2024,CUST00298,Female,40,Guwahati,Assam,Insider Gold,P51215,Van Heusen Oversized Sandals,Men,Footwear,Van Heusen,White,6,2129.0,0,2129.0,1,2129.0,Debit Card,Mobile App,Delivered,9,5.0
MYN100003,2025-05-13,May,Q2,2025,CUST01162,Female,39,Kolkata,West Bengal,Insider Gold,P46444,Gini and Jony Floral Toy Set,Kids,Toys,Gini and Jony,Purple,XL,5699.0,10,5129.1,1,5129.1,Credit Card,Mobile App,Delivered,8,3.0
MYN100004,2023-02-13,February,Q1,2023,CUST02043,Male,48,Jaipur,Rajasthan,Insider,P69347,H&M Regular Fit Sneakers,Men,Footwear,H&M,Blue,10,2169.0,30,1518.3,1,1518.3,UPI,Mobile App,Cancelled,6,4.0
MYN100005,2023-07-14,July,Q3,2023,CUST00020,Male,52,Surat,Gujarat,Insider,P79922,Spaces Slim Fit Storage Container Set,Home & Living,Kitchen,Spaces,Yellow,XS,1729.0,0,1729.0,1,1729.0,Cash on Delivery,Website,Delivered,8,4.0
MYN100006,2023-07-30,July,Q3,2023,CUST02280,Male,25,Bhopal,Madhya Pradesh,Non-Member,P49117,Sugar Cosmetics Formal Perfume,Beauty,Fragrance,Sugar Cosmetics,Purple,L,1319.0,10,1187.1,2,2374.2,UPI,Mobile App,Cancelled,2,4.0
MYN100007,2023-04-18,April,Q2,2023,CUST01323,Male,42,Ahmedabad,Gujarat,Insider Gold,P35055,Spaces Regular Fit Curtain Set,Home & Living,Furnishing,Spaces,Purple,M,3739.0,50,1869.5,3,5608.5,Cash on Delivery,Mobile App,Delivered,6,5.0
MYN100008,2025-04-26,April,Q2,2025,CUST01081,Male,40,Bhopal,Madhya Pradesh,Insider,P86474,Biba Printed Wallet,Women,Accessories,Biba,Beige,XS,1029.0,10,926.1,1,926.1,Net Banking,Mobile App,Delivered,9,4.0
MYN100009,2024-05-11,May,Q2,2024,CUST02008,Female,30,Ahmedabad,Gujarat,Non-Member,P22032,Campus Solid Slides,Footwear,Sandals,Campus,Green,8,4359.0,30,3051.3,1,3051.3,Net Banking,Mobile App,Delivered,5,5.0
MYN100010,2024-09-30,September,Q3,2024,CUST00886,Female,38,Kolkata,West Bengal,Non-Member,P54623,H&M Regular Fit Sunglasses,Women,Accessories,H&M,Red,XL,4649.0,50,2324.5,2,4649.0,Net Banking,Mobile App,Returned,9,4.0
MYN100011,2024-09-21,September,Q3,2024,CUST00533,Female,20,Visakhapatnam,Andhra Pradesh,Insider,P77300,H&M Checked Flip Flops,Men,Footwear,H&M,Red,9,1379.0,20,1103.2,1,1103.2,UPI,Website,Returned,3,4.0
MYN100012,2023-06-22,June,Q2,2023,CUST00986,Male,53,Hyderabad,Telangana,Non-Member,P72421,Levis Slim Fit Lehenga,Men,Ethnic Wear,Levis,Navy,XL,4069.0,20,3255.2,1,3255.2,Credit Card,Mobile App,Delivered,7,4.0
MYN100013,2024-07-19,July,Q3,2024,CUST00218,Male,47,Lucknow,Uttar Pradesh,Insider Gold,P60137,Vero Moda Graphic Bra,Women,Lingerie,Vero Moda,Purple,L,1409.0,20,1127.2,1,1127.2,Debit Card,Mobile App,Delivered,9,5.0
MYN100014,2025-04-08,April,Q2,2025,CUST00455,Female,35,Nagpur,Maharashtra,Insider,P41295,Roadster Striped Jacket,Men,Topwear,Roadster,White,XL,879.0,20,703.2,2,1406.4,Credit Card,Website,Delivered,8,4.0
MYN100015,2025-10-27,October,Q4,2025,CUST02029,Female,19,Surat,Gujarat,Insider Gold,P47747,Puma Graphic Cap,Men,Accessories,Puma,Purple,XL,1949.0,0,1949.0,1,1949.0,Cash on Delivery,Website,Returned,9,4.0
MYN100016,2023-12-30,December,Q4,2023,CUST00698,Male,41,Patna,Bihar,Non-Member,P69666,Zara Casual Trousers,Women,Bottomwear,Zara,Blue,XS,4109.0,30,2876.3,1,2876.3,Cash on Delivery,Website,Delivered,6,5.0
MYN100017,2024-08-18,August,Q3,2024,CUST01443,Female,52,Surat,Gujarat,Insider Gold,P71940,Puma Solid Flip Flops,Footwear,Flip Flops,Puma,White,6,4979.0,60,1991.6,1,1991.6,Debit Card,Mobile App,Delivered,5,5.0
MYN100018,2023-01-28,January,Q1,2023,CUST01248,Female,23,Hyderabad,Telangana,Insider Gold,P55977,Nykaa Relaxed Fit Conditioner,Beauty,Haircare,Nykaa,Yellow,M,1719.0,20,1375.2,1,1375.2,Credit Card,Mobile App,Delivered,7,4.0
MYN100019,2025-06-01,June,Q2,2025,CUST02441,Female,38,Bengaluru,Karnataka,Non-Member,P38869,Roadster Formal Hoodie,Women,Winterwear,Roadster,Navy,S,2349.0,0,2349.0,1,2349.0,UPI,Mobile Web,Delivered,7,5.0
MYN100020,2024-07-19,July,Q3,2024,CUST00443,Male,23,Patna,Bihar,Insider,P99006,Bata Striped Flip Flops,Footwear,Flip Flops,Bata,Pink,8,2539.0,30,1777.3,2,3554.6,UPI,Website,Delivered,6,3.0
MYN100021,2024-08-16,August,Q3,2024,CUST00504,Male,31,Delhi,Delhi,Non-Member,P11092,AND Regular Fit Necklace Set,Women,Jewellery,AND,Beige,XXL,1149.0,10,1034.1,1,1034.1,Credit Card,Website,Delivered,4,5.0
