price_recorded_date,platform,product_category,model_name,condition,launch_price_usd,launch_price_inr,current_price_usd,current_price_inr,discount_pct,sale_event,stock_status,rating,reviews_count,year,month
2020-09-19,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,435.81,43322.4,-1.6,No Sale Event,In Stock,4.7,40,2020,9
2020-09-20,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.49,42320.4,-1.7,No Sale Event,Out of Stock,4.6,84,2020,9
2020-09-23,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.73,40879.4,1.5,No Sale Event,In Stock,4.4,110,2020,9
2020-09-23,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,425.0,42008.7,0.9,No Sale Event,In Stock,4.8,111,2020,9
2020-09-24,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.22,41984.3,-1.7,No Sale Event,In Stock,4.7,35,2020,9
2020-09-26,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.29,43149.5,-1.7,No Sale Event,In Stock,4.7,45,2020,9
2020-09-27,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.06,42587.6,-0.9,No Sale Event,In Stock,4.8,60,2020,9
2020-09-29,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,312.11,26276.6,27.2,No Sale Event,In Stock,4.4,146,2020,9
2020-10-01,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,323.84,31855.0,24.5,Big Billion Days,In Stock,4.7,95,2020,10
2020-10-01,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,390.51,38757.4,9.0,Great Indian Festival,In Stock,4.9,133,2020,10
2020-10-01,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,385.37,37753.4,10.2,Great Indian Festival,In Stock,4.5,57,2020,10
2020-10-01,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,274.88,23070.6,35.9,Great Indian Festival,In Stock,4.5,99,2020,10
2020-10-02,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.7,34771.7,18.7,Big Billion Days,In Stock,4.6,71,2020,10
2020-10-03,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,324.8,32134.6,24.3,Big Billion Days,In Stock,4.9,62,2020,10
2020-10-04,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,265.1,22614.3,38.2,Great Indian Festival,Low Stock,4.4,112,2020,10
2020-10-06,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.69,33665.1,18.7,Great Indian Festival,Out of Stock,4.4,127,2020,10
2020-10-06,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,380.46,36957.6,11.3,Great Indian Festival,In Stock,4.6,112,2020,10
2020-10-06,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,354.95,34964.4,17.3,Big Billion Days,In Stock,4.7,176,2020,10
2020-10-07,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,348.33,34539.7,18.8,Big Billion Days,In Stock,4.7,140,2020,10
2020-10-07,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,308.34,25820.8,28.1,Big Billion Days,Out of Stock,4.0,157,2020,10
2020-10-08,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,351.25,34046.8,18.1,Big Billion Days,Out of Stock,4.2,163,2020,10
2020-10-08,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,338.18,33386.7,21.2,Big Billion Days,Low Stock,4.6,160,2020,10
2020-10-09,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,373.25,36495.1,13.0,Big Billion Days,In Stock,4.6,44,2020,10
2020-10-11,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,370.68,36046.1,13.6,Great Indian Festival,In Stock,4.8,97,2020,10
2020-10-11,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,340.08,33597.6,20.7,Great Indian Festival,In Stock,4.5,102,2020,10
2020-10-14,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,328.53,32762.7,23.4,Big Billion Days,Out of Stock,4.3,156,2020,10
2020-10-14,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,287.87,24767.1,32.9,Big Billion Days,Out of Stock,3.9,225,2020,10
2020-10-15,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,255.77,21918.9,40.4,Big Billion Days,Low Stock,4.0,135,2020,10
2020-10-16,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,429.39,42886.4,-0.1,No Sale Event,In Stock,4.8,168,2020,10
2020-10-18,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,331.95,28468.2,22.6,No Sale Event,In Stock,4.3,225,2020,10
2020-10-18,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,360.84,30701.3,15.9,No Sale Event,In Stock,3.8,184,2020,10
2020-10-21,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,360.47,30502.9,16.0,No Sale Event,In Stock,4.4,147,2020,10
2020-10-22,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,437.28,43200.8,-1.9,No Sale Event,In Stock,4.4,158,2020,10
