employee_id,age,gender,marital_status,education_level,department,job_role,job_level,monthly_income,salary_hike_pct,years_at_company,total_working_years,work_mode,overtime_hours_per_week,burnout_score,engagement_score,work_life_balance_score,uses_ai_tools_at_work,perceived_ai_job_risk,attrition,age_group
1001,37,Male,Divorced,Masters,Engineering,Engineering Manager,Mid Level,7365,14.1,7.3,15.9,Remote,2.4,1.0,9.7,7.7,True,4.8,0,Mid Career (30-39)
1002,24,Female,Married,Bachelors,Finance,Finance Manager,Associate,4746,7.9,3.0,4.0,Onsite,4.1,1.9,5.4,7.8,True,2.9,1,Early Career (21-29)
1003,24,Female,Single,Bachelors,Marketing,Marketing Specialist,Entry Level,2740,12.8,3.0,4.0,Hybrid,3.3,5.3,6.5,7.0,True,7.2,0,Early Career (21-29)
1004,44,Male,Single,Bachelors,Sales,Sales Manager,Senior Level,7334,12.8,9.2,12.5,Hybrid,12.0,4.3,7.3,3.5,False,5.2,0,Senior Career (40-49)
1005,37,Female,Divorced,Bachelors,Sales,Sales Development Rep,Mid Level,9096,10.6,4.9,10.5,Hybrid,4.9,2.3,7.0,7.2,False,6.4,0,Mid Career (30-39)
1006,25,Male,Married,Bachelors,Customer Support,Support Specialist,Associate,4052,11.4,1.7,5.0,Remote,8.9,4.5,8.2,7.0,True,7.3,0,Early Career (21-29)
1007,47,Female,Divorced,PhD,Customer Support,Support Specialist,Mid Level,5097,12.1,1.4,9.8,Hybrid,7.2,3.8,6.2,6.9,False,7.9,0,Senior Career (40-49)
1008,63,Male,Single,Bachelors,Engineering,QA Engineer,Management,12673,6.6,16.7,23.2,Onsite,5.4,5.5,7.2,7.0,True,3.7,0,Pre-Retirement (50-64)
1009,35,Female,Single,Bachelors,Finance,Accountant,Associate,4343,5.5,1.3,11.3,Remote,9.0,5.1,7.5,5.7,True,4.8,0,Mid Career (30-39)
1010,33,Female,Single,Bachelors,Sales,Sales Development Rep,Associate,5345,15.0,7.1,12.0,Hybrid,8.3,2.3,9.1,6.3,False,5.5,0,Mid Career (30-39)
1011,31,Male,Single,Bachelors,Research & Development,Research Scientist,Associate,6291,7.7,5.9,11.0,Hybrid,1.7,3.8,4.7,7.3,False,5.6,0,Mid Career (30-39)
1012,39,Male,Married,Bachelors,Customer Support,Customer Success Manager,Mid Level,3730,13.1,6.5,17.0,Onsite,9.9,6.3,5.1,4.7,True,8.5,0,Mid Career (30-39)
1013,24,Female,Divorced,Masters,Finance,Accountant,Entry Level,3549,10.9,0.0,0.1,Remote,2.1,4.0,7.0,7.6,True,5.1,0,Early Career (21-29)
1014,22,Female,Single,High School,Operations,Program Manager,Associate,4388,15.3,1.0,2.0,Hybrid,0.9,1.6,7.7,7.9,False,2.8,0,Early Career (21-29)
1015,21,Female,Married,Bachelors,Marketing,Growth Manager,Mid Level,5310,10.8,0.0,1.0,Hybrid,13.2,4.0,6.1,4.4,True,4.5,0,Early Career (21-29)
1016,21,Female,Single,Masters,Customer Support,Support Specialist,Associate,3541,11.1,0.0,1.0,Hybrid,5.2,4.9,6.2,6.8,False,7.3,0,Early Career (21-29)
