employee_id,age,gender,marital_status,education_level,department,job_role,job_level,monthly_income,salary_hike_pct,years_at_company,total_working_years,years_since_promotion,num_prior_companies,work_mode,overtime_hours_per_week,business_travel_days_per_year,burnout_score,engagement_score,work_life_balance_score,performance_rating,last_review_score,uses_ai_tools_at_work,perceived_ai_job_risk,attrition
1001,37,Male,Divorced,Masters,Engineering,Engineering Manager,3,7365,14.1,7.3,15.9,1.5,3,Remote,2.4,6,1,9.7,7.7,3,8.3,TRUE,4.8,No
1002,24,Female,Married,Bachelors,Finance,Finance Manager,2,4746,7.9,3,4,2.5,3,Onsite,4.1,5,1.9,5.4,7.8,3,8,TRUE,2.9,Yes
1003,24,Female,Single,Bachelors,Marketing,Marketing Specialist,1,2740,12.8,3,4,1.3,3,Hybrid,3.3,7,5.3,6.5,7,4,9.5,TRUE,7.2,No
1004,44,Male,Single,Bachelors,Sales,Sales Manager,4,7334,12.8,9.2,12.5,0.5,0,Hybrid,12,21,4.3,7.3,3.5,4,7.9,FALSE,5.2,No
1005,37,Female,Divorced,Bachelors,Sales,Sales Development Rep,3,9096,10.6,4.9,10.5,0.2,0,Hybrid,4.9,20,2.3,7,7.2,4,8.5,FALSE,6.4,No
1006,25,Male,Married,Bachelors,Customer Support,Support Specialist,2,4052,11.4,1.7,5,1.2,1,Remote,8.9,10,4.5,8.2,7,4,7.9,TRUE,7.3,No
1007,47,Female,Divorced,PhD,Customer Support,Support Specialist,3,5097,12.1,1.4,9.8,1.1,3,Hybrid,7.2,5,3.8,6.2,6.9,4,7.5,FALSE,7.9,No
1008,63,Male,Single,Bachelors,Engineering,QA Engineer,5,12673,6.6,16.7,23.2,0,2,Onsite,5.4,3,5.5,7.2,7,4,10,TRUE,3.7,No
1009,35,Female,Single,Bachelors,Finance,Accountant,2,4343,5.5,1.3,11.3,1.3,3,Remote,9,10,5.1,7.5,5.7,3,9.5,TRUE,4.8,No
1010,33,Female,Single,Bachelors,Sales,Sales Development Rep,2,5345,15,7.1,12,0.7,0,Hybrid,8.3,16,2.3,9.1,6.3,4,8.8,FALSE,5.5,No
1011,31,Male,Single,Bachelors,Research & Development,Research Scientist,2,6291,7.7,5.9,11,0,2,Hybrid,1.7,1,3.8,4.7,7.3,3,5.8,FALSE,5.6,No
